idPlayer,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,gamesWinned,descMapName_de_ancient,descMapName_de_dust2,descMapName_de_inferno,descMapName_de_mirage,descMapName_de_nuke,descMapName_de_overpass,descMapName_de_train,descMapName_de_vertigo,KDA,hitRate,ADR,HSRate,gamesPlayed,winRate,weightedHitRate,brilliantPerformance,grade
2297,1994,471,1914,728,48,132,3.0,12.0,876,353,102,22,2,297,268472,7367.0,51822,78.0,55,2681,704.0,317.0,38.0,943.0,3372.0,1595.0,256.0,658.0,250.0,293.0,50,2,35,5,22,9,13,1,13,1.2878787878787878,0.14215970051329552,100.13875419619545,0.018196904789471655,100,0.5,0.1632995638917834,2.1334999999999997,C
2298,2394,408,1966,1054,35,122,2.0,24.0,817,435,155,53,5,352,309539,7874.0,56885,66.0,51,2716,697.0,309.0,89.0,1312.0,3859.0,1285.0,273.0,705.0,209.0,231.0,48,2,13,24,34,5,7,7,8,1.4252288911495423,0.13841961852861034,113.96870397643593,0.023064076645864462,100,0.48,0.16743517623275034,3.0205,B
2299,1942,442,1972,747,34,111,3.0,33.0,870,336,107,17,2,286,260196,6658.0,49553,55.0,49,2802,748.0,347.0,79.0,957.0,3009.0,1425.0,219.0,550.0,254.0,244.0,59,10,2,9,4,25,3,2,45,1.208924949290061,0.13436118902992755,92.86081370449679,0.019312655136924102,100,0.59,0.15712671281254414,2.1875,C
2301,356,66,375,113,7,20,0.0,5.0,152,58,21,5,1,48,45712,1197.0,9120,8.0,6,511,128.0,69.0,6.0,139.0,504.0,312.0,37.0,96.0,53.0,56.0,10,0,2,5,5,2,2,0,3,1.1253333333333333,0.13125,89.4559686888454,0.01524122807017544,19,0.5263157894736842,0.15019298245614038,1.7921052631578949,E
2303,1886,372,1824,646,23,126,3.0,15.0,699,342,118,28,5,259,244541,6575.0,34050,72.0,58,2480,577.0,322.0,24.0,822.0,2813.0,1715.0,199.0,483.0,272.0,271.0,43,0,15,16,44,1,4,1,19,1.2379385964912282,0.19309838472834068,98.60524193548387,0.024140969162995594,100,0.43,0.22288986784140968,1.9325000000000003,C
2304,2106,352,1710,819,37,174,1.0,59.0,856,355,142,26,2,254,268823,6260.0,40895,142.0,89,2679,839.0,299.0,142.0,1038.0,3183.0,1064.0,194.0,481.0,128.0,172.0,64,1,23,9,57,2,0,4,4,1.4374269005847953,0.15307494803765742,100.34453154162001,0.025382076048416677,100,0.64,0.18646925051962343,2.435,B
2305,2350,423,1854,878,26,89,3.0,7.0,880,438,137,42,3,336,298848,7617.0,42548,94.0,48,2703,767.0,342.0,27.0,1062.0,3736.0,1486.0,225.0,616.0,257.0,235.0,44,0,19,17,40,3,8,1,12,1.4956850053937432,0.17902134060355362,110.56159822419534,0.02496004512550531,100,0.44,0.21378725204474947,2.5410000000000004,B
2306,20,4,37,11,0,3,0.0,1.0,10,2,2,0,0,1,3304,102.0,644,0.0,0,44,7.0,7.0,2.0,14.0,36.0,33.0,1.0,7.0,6.0,5.0,0,0,0,1,0,0,0,1,0,0.6486486486486487,0.15838509316770186,75.0909090909091,0.021739130434782608,2,0.0,0.18347826086956529,1.3750000000000002,F
2307,95,18,94,23,0,3,0.0,1.0,45,14,6,1,0,23,12291,323.0,1592,7.0,0,120,18.0,12.0,0.0,26.0,144.0,80.0,5.0,29.0,16.0,23.0,1,0,2,0,1,0,1,1,0,1.202127659574468,0.2028894472361809,102.425,0.016331658291457288,5,0.2,0.22530150753768843,1.7600000000000002,D
2308,215,43,193,89,6,8,1.0,1.0,88,40,10,3,1,29,28338,751.0,8417,9.0,6,286,83.0,32.0,2.0,129.0,323.0,161.0,20.0,56.0,27.0,35.0,4,1,0,1,5,1,2,1,0,1.3367875647668395,0.08922418914102412,99.08391608391608,0.015326125697992158,11,0.36363636363636365,0.10314126173220864,2.2363636363636363,D
